ID; Name; Description; Whitepaper;FB ;Twitter; Github  
100;UNICOIN;Art-Tech Cryptocurrency;http://www.saveunicoins.com/SaveUNICOINs_Whitepaper.pdf;https://www.facebook.com/saveunicoins;http://twitter.com/saveUniCoins;
101;Coindex;Crypto-market Indexes;https://docs.wixstatic.com/ugd/b2aada_857200c5830644378035d240cd3c2588.pdf;;https://twitter.com/coindexfinance;
102;Dragonchain;Blockchain-based secure, flexible, and business ready platform;https://dragonchain.com/assets/Dragonchain_Business_Summary.pdf;;https://twitter.com/dragonchaingang;https://github.com/dragonchain/dragonchain
103;Science Blockchain;Blockchain Startup Incubator;https://science.tokenhub.com/;;;
104;WandX;Decentralized derivatives market;https://wandxdapp.gitbooks.io/wandx-whitepaper/content/;https://www.facebook.com/wandx.co/;https://twitter.com/WandXDapp;https://github.com/WandXDapp
105;SqPay;Cryptoinvestments in Commercial Real Estate;https://sqpay.io/SqPay_White_Paper_eng.PDF;https://www.facebook.com/sqpay.io;;
106;Dome Platform;Revolutionizing dapps with global network solutions;https://www.domeplatform.io/static/pdfs/Whitepaper.pdf;https://www.facebook.com/domeplatform/;https://twitter.com/DomePlatform;https://github.com/thedomeplatform/Dome-Contract
107;Papyrus;Decentralized Advertising Ecosystem;https://papyrus.global/static/whitepaper.pdf;https://www.facebook.com/papyrusglobal/?ref=bookmarks;;https://github.com/papyrusglobal
108;VerifyUnion;Decentralized Digital Identification and Trust Verification platform with a Social Scoring Engine;https://verifyunion.io/webassets/docs/VerifyUnion_Whitepaper.pdf;https://www.facebook.com/VerifyUnion/?ref=br_rs;https://twitter.com/VUnioninfo;
109;IMMLA;Decentralized Online Service Of Multimodal Transportation;http://immla.io/IMMLA_WP.pdf;https://www.facebook.com/immlaio/;https://twitter.com/IMMLA_io;https://github.com/IMMLA
110;VOTES;An international platform for taking votes of any level;http://votesplatform.com/assets/whitepaper/votes_whitepaper_en.pdf;http://fb.me/votesplatform;https://twitter.com/votes_platform;
111;Stake.com;Blockchain-based Casino;https://stake.com/;https://www.facebook.com/StakeCasino/;https://twitter.com/stakecasino;
112;SRG;Online Gaming Industry With a Blockchain Based Gaming Loyalty Platform;https://srg.io/files/srg_white_paper_eng.pdf;https://www.facebook.com/CommunitySRG/;https://twitter.com/srgcommunity;https://github.com/SRG-community/SRG
113;CoExistCoin;Charitable Nonprofit Organization;https://coexistcoin.org/assets/components/coexistcoin/downloads/CoExistCoin.pdf;;https://twitter.com/coexistcoin;
114;BitBoost;Ethereum-based Marketplace for E-Commerce;https://www.bitboost.net/downloads/The-Block-Whitepaper-v0.4-1;https://www.facebook.com/Bitboost-1819931498257673/;https://twitter.com/Bitboosters;
115;CryptoFund;Diversified Algorithmic Crypto Fund;https://crypto-fund.org/wp/cryptofund_wp_en.pdf;https://www.facebook.com/Crypto-Fund-Project-1534342383289240/;https://twitter.com/fund_crypto;
116;Blocksale;Blockchain-based Application Network for accredited investors and ITO;http://www.blocksale.io/wp-content/uploads/2017/09/BOK_Blocksale_Whitepaper.pdf;https://www.facebook.com/Blocksale-1364769656972696/;https://twitter.com/Blocksaleio;
117;Emphy;Decentralized blockchain lodging ecosystem;https://emphy.io/wp-content/uploads/2017/09/Emphy_Whitepaper_eng_v1_0.pdf;https://www.facebook.com/emphy.io;https://twitter.com/EmphyOfficial;
118;crypto.tickets;Universal blockchain platform for ticket systems;https://crypto.tickets/crypto.tickets%20whitepaper%20ENG.pdf;https://www.facebook.com/crypto.tickets;https://twitter.com/CryptoTickets;
119;CUBIYAN;An Open Source Digital Currency backed by reserves of Bitcoin and Ethereum;https://www.cubiyan.com/download/cubiyan-whitepapers-v1.0.pdf;https://www.facebook.com/cubiyan.uk/;;
120;BioPayCoin;Cryptocurrency Wallet with Biometric Fingerprint scanning;http://biopaycoin.com/;https://facebook.com/biopay.coin.1;https://twitter.com/biopaycoin;https://github.com/biopaycoin
121;Bond;Asset Fund on Bitshares Blockchain;https://bondonblockchain.com/wp-content/uploads/2017/09/bond-whitepaper.pdf;https://www.facebook.com/BOND-on-Blockchain-1630497430328132/;https://twitter.com/bondblockchain;
122;StoneToken;Blockchain-based project of activated mineral powder;http://www.stonetoken.io/?images/imageContent/WhitePaper.pdf;https://www.facebook.com/StoneTokenio-110619356303485/;https://twitter.com/stonetokencrew?lang=ru;
123;AIOS;A Massive Decentralized Social Media Platform;https://aios.life/whitepaper.pdf;;https://twitter.com/aioslife;
